Domaine,Valeur (0–1)
Statistics,0.9907538172935192
Signal Processing,0.9901624660399089
Machine Learning,0.9833938465554788
Deep Learning,0.9851004316973411
Bayesian Methods,0.9864273551471345
Time Series,0.9552952184576237
NLP,0.9862970139010458
